Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Strawberry Cough PR (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.071,0.0,0.064,0.009,0.007,0.0,0.01,0.0,0.167,2.491,0.057,0.165,0.118,0.039,0.433,0.266,,0.208,0.324,0.031,0.035,,1.37,0.11,76.56,0.02,0.0,0.18,0.0,0.0,0.0,1.85,0.13,0.0,
,Chiquita Banana PR (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.058,0.07,0.0,0.041,0.579,0.048,0.0,1.877,0.35,,0.087,0.884,0.0,0.0,,0.87,0.08,75.44,0.0,0.0,0.21,0.0,0.0,0.0,1.5,0.53,0.0,
,OG Kush PR (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.046,0.0,0.023,0.0,0.0,0.695,0.0,0.0,0.099,0.18,0.022,0.0,0.529,0.321,,0.057,0.514,0.0,0.0,,1.03,0.1,79.7,0.02,0.0,0.19,0.0,0.0,0.0,2.31,0.29,0.0,
,Mr. Loud PR (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.05,0.0,0.072,0.021,0.0,0.0,0.054,0.0,0.45,1.865,0.207,0.155,0.05,0.043,0.471,0.682,,0.126,0.307,0.033,0.018,,4.55,0.0,70.02,0.07,0.0,0.23,0.0,0.0,0.0,4.25,0.61,0.16,
,Skywalker OG PR (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.015,0.064,0.0,0.02,0.0,0.0,0.691,0.0,0.0,0.112,0.261,0.034,0.0,0.749,0.724,,0.114,0.812,0.0,0.0,,2.74,0.13,72.41,0.04,0.0,0.17,0.0,0.0,0.08,1.59,0.3,0.09,
,AK-47 PR (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.159,0.0,0.005,0.0,0.0,0.034,0.182,0.041,0.643,0.719,0.157,0.0,2.319,3.357,,0.099,0.294,0.0,0.0,,1.08,0.08,72.58,0.08,0.0,0.19,0.0,0.0,0.0,0.6,0.27,0.0,
,Lemon Tree (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.037,0.0,0.161,0.024,0.009,0.093,0.0,0.286,0.294,0.931,0.133,0.492,0.057,0.012,1.391,0.546,,0.119,0.253,0.009,0.017,,0.93,0.12,70.74,0.04,0.0,0.21,0.0,0.0,0.0,3.05,0.12,0.0,
,Lemon Tree - Guild Extracts,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.018,0.0,0.006,0.0,0.0,0.013,0.0,0.0,0.033,0.0,0.0,0.0,0.023,0.027,,0.0,0.0,0.0,0.0,,1.08,0.05,94.62,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,
,Clementine,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.03,0.007,0.0,0.0,0.0,0.206,0.019,0.058,0.053,0.203,0.0,0.0,0.518,0.041,,0.0,0.035,0.01,0.0,,1.1,0.07,79.44,0.03,0.0,0.2,0.0,0.0,0.0,4.34,0.29,0.0,
,Gorilla Glue #4,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.091,0.0,0.041,0.0,0.0,0.426,0.019,0.033,0.261,0.489,0.052,0.0,1.479,0.396,,0.075,0.473,0.0,0.0,,2.53,0.08,78.95,0.05,0.0,0.16,0.0,0.0,0.0,1.34,0.22,0.11,
,Girl Scout Cookies,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.003,0.155,0.0,0.004,0.0,0.0,0.371,0.053,0.0,0.289,1.122,0.024,0.0,2.771,0.283,,0.049,0.377,0.0,0.0,,3.38,0.0,70.11,0.06,0.0,0.17,0.0,0.0,0.0,4.46,0.31,0.13,
,9 lb Berry Fruit,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.091,0.0,0.006,0.116,0.0,0.037,0.0,0.0,0.456,0.188,0.0,0.0,0.389,0.024,,0.0,0.006,0.0,0.0,,2.98,0.16,76.2,0.08,0.0,0.21,0.0,0.02,0.0,2.78,0.35,0.11,
,Diamond OG,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.073,0.0,0.0,0.041,0.026,0.208,0.0,0.0,0.137,0.177,0.0,0.0,0.494,0.0,,0.0,0.01,0.0,0.0,,6.11,0.1,72.86,0.06,0.0,0.22,0.0,0.0,0.0,2.02,0.32,0.3,
,Jungle Juice,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.114,0.007,0.0,0.099,0.008,0.105,0.0,0.0,0.355,0.383,0.008,0.0,1.084,0.012,,0.0,0.0,0.0,0.0,,2.31,0.09,72.93,0.07,0.0,0.23,0.0,0.0,0.0,2.09,0.2,0.1,
,Platinum OG 90v (H2O),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.042,0.0,0.014,0.0,0.0,0.269,0.0,0.0,0.041,0.233,0.0,0.0,0.685,0.0,,0.0,0.017,0.0,0.0,,14.54,0.0,60.75,0.11,0.07,0.2,0.03,0.0,0.0,0.1,0.63,0.24,
,Hindu Kush 120v (H2O),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.005,0.09,0.0,0.0,0.0,0.0,0.294,0.006,0.005,0.147,0.205,0.029,0.0,0.629,0.03,,0.056,0.412,0.0,0.0,,4.86,0.0,57.52,0.08,0.0,0.2,0.0,0.0,0.0,6.05,0.87,0.26,
,Tropicali (H2O),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.021,0.021,0.0,0.0,0.13,0.0,0.115,0.0,0.032,0.027,0.122,0.061,0.0,0.391,1.608,,0.124,0.687,0.0,0.0,,1.11,0.0,74.02,0.04,0.0,0.18,0.0,0.0,0.0,3.83,0.37,0.06,
,3 Kings OG (Rosin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.028,0.069,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.377,1.195,0.087,0.0,2.421,0.357,,0.158,0.915,0.0,0.0,,5.28,0.0,61.49,0.11,0.0,0.34,0.0,0.0,0.0,1.57,0.2,0.42,
,Nookies (Rosin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.095,0.0,0.054,0.0,0.0,0.0,0.069,0.067,0.491,4.024,0.08,0.31,0.183,0.007,1.048,0.689,,0.0,0.679,0.071,0.0,,14.71,0.0,59.02,0.07,0.0,0.17,0.0,0.0,0.0,3.59,0.57,0.29,
,Blue Dream (Rosin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.021,0.046,0.0,0.0,0.0,0.0,0.478,0.0,0.0,0.173,0.32,1.362,0.0,0.83,0.063,,0.515,0.111,0.0,0.0,,26.59,0.0,46.04,0.14,0.12,0.34,0.04,0.0,0.0,0.74,0.44,0.37,
,Double Tangie Banana (Rosin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.019,0.0,0.042,0.012,0.0,0.136,0.04,0.189,0.0,0.765,0.047,0.101,0.074,0.0,0.32,0.212,,0.174,0.278,0.02,0.0,,6.26,0.0,70.58,0.13,0.0,0.3,0.0,0.0,0.0,2.71,0.66,0.13,
,Confidential Cheese (Rosin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.01,0.052,0.011,0.01,0.008,0.0,1.049,0.0,0.02,0.154,0.203,0.057,0.0,0.659,0.242,,0.144,0.909,0.0,0.0,,4.94,0.0,72.69,0.07,0.0,0.25,0.0,0.0,0.0,1.29,0.35,0.17,
,Ghost Haze - Indica (CO2),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.281,0.047,0.0,0.038,0.0,0.243,0.01,0.057,0.487,0.853,0.015,0.0,2.411,0.048,,0.0,0.077,0.0,0.0,,35.92,0.0,14.73,0.31,2.85,0.76,1.13,0.0,0.0,0.66,1.41,1.38,
,Dawg Waltz (CO2),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.019,0.12,0.04,0.0,0.008,0.027,0.833,1.461,0.027,0.378,1.105,1.157,0.0,2.82,9.194,,0.386,0.69,0.0,0.0,,12.91,0.0,32.16,0.17,0.07,0.24,0.0,0.0,0.0,1.16,0.55,0.32,
,Lime Cream Soda (CO2),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.066,0.148,0.0,0.0,0.0,0.0,0.796,0.0,0.112,0.276,0.963,0.746,0.0,2.931,1.449,,0.468,3.752,0.0,0.0,,19.04,0.0,25.99,0.17,0.17,0.4,0.0,0.0,0.0,1.76,0.63,0.23,
,Harle-Tsu (CO2),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.006,0.068,0.127,0.041,0.0,0.183,0.0,0.268,0.156,0.58,0.126,0.714,3.002,0.0,1.781,2.472,,1.287,1.53,0.011,0.0,,29.89,0.0,22.95,0.46,0.23,1.58,0.3,0.0,0.0,0.87,0.7,0.51,
,PSCR - 660,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.024,0.114,0.0,0.027,0.01,0.0,0.483,0.0,0.043,0.235,0.521,0.097,0.0,1.468,0.722,,0.209,1.04,0.0,0.0,,5.04,0.0,66.37,0.05,0.0,0.16,0.0,0.0,0.0,1.14,0.34,0.03,
,STCR - 662,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.021,0.078,0.0,0.011,0.0,0.006,0.311,0.0,0.0,0.21,0.419,0.082,0.0,1.151,0.34,,0.164,0.57,0.0,0.0,,4.28,0.0,69.19,0.08,0.0,0.17,0.0,0.0,0.0,0.85,0.32,0.0,
,STCR - 663,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.032,0.031,0.0,0.0,0.0,0.0,0.071,0.028,0.0,0.035,0.278,0.237,0.0,0.882,0.364,,0.282,0.792,0.0,0.0,,3.81,0.0,73.85,0.03,0.0,0.16,0.0,0.0,0.0,1.2,0.61,0.0,
,PSCR - 664,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.024,0.073,0.0,0.017,0.0,0.0,0.289,0.0,0.0,0.162,0.312,0.057,0.0,0.889,0.462,,0.133,0.696,0.0,0.0,,5.4,0.0,67.02,0.06,0.0,0.15,0.0,0.0,0.0,0.85,0.35,0.06,
,STCR - 665,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.009,0.121,0.0,0.012,0.0,0.0,0.222,0.0,0.0,0.17,0.338,0.079,0.0,0.998,0.454,,0.141,0.562,0.0,0.0,,4.42,0.0,67.24,0.07,0.0,0.16,0.0,0.0,0.0,1.47,0.3,0.0,
,PSCR - 668,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.021,0.07,0.0,0.0,0.0,0.0,0.336,0.0,0.0,0.212,0.28,0.06,0.0,0.823,0.131,,0.114,0.508,0.0,0.0,,3.94,0.0,67.1,0.07,0.0,0.18,0.0,0.0,0.0,0.9,0.46,0.0,
,STCR - 669,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.031,0.069,0.0,0.009,0.0,0.0,0.165,0.025,0.031,0.126,0.349,0.184,0.0,1.102,0.377,,0.238,0.744,0.0,0.0,,4.85,0.0,70.27,0.07,0.0,0.16,0.0,0.0,0.0,1.34,0.46,0.0,
,PSCR - 671,"Concentrate, Inhalable",2016-11-16,,64,,,,,,0.0,0.019,0.079,0.0,0.017,0.0,0.0,0.269,0.0,0.025,0.171,0.322,0.06,0.0,0.915,0.364,,0.129,0.621,0.0,0.0,,5.85,0.0,66.15,0.06,0.0,0.14,0.0,0.0,0.0,0.83,0.33,0.05,
,Banana OG,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.015,0.079,0.0,0.0,0.0,0.0,0.13,0.0,0.012,0.003,0.132,0.042,0.0,0.431,0.043,,0.077,0.216,0.0,0.0,,4.87,0.13,68.88,0.06,0.0,0.25,0.0,0.03,0.0,0.48,0.28,0.22,
,Platinum Banana (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.084,0.0,0.0,0.011,0.0,0.2,0.07,0.095,0.091,0.51,0.032,0.0,1.564,0.358,,0.067,0.514,0.0,0.0,,1.95,0.07,76.93,0.02,0.0,0.2,0.0,0.0,0.0,2.53,0.53,0.14,
,Mojito,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.054,0.0,0.009,0.012,0.068,0.033,0.0,0.186,0.014,,0.007,0.0,0.0,0.0,,8.99,0.13,72.01,0.08,0.09,0.28,0.0,0.0,0.0,2.4,0.54,0.24,
,Golden Pineapple (Shatter),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.02,0.0,0.173,0.015,0.0,0.403,0.0,0.145,0.043,0.421,0.281,0.491,0.081,0.0,1.615,0.068,,0.129,0.175,0.021,0.0,,2.22,0.15,64.76,0.18,0.0,0.19,0.0,0.03,0.0,5.57,0.34,0.0,
,Super Glue,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.012,0.045,0.004,0.0,0.334,0.0,0.395,0.016,0.0,0.34,0.521,0.052,0.0,1.284,0.461,,0.098,0.707,0.0,0.0,,3.2,0.1,73.67,0.11,0.0,0.22,0.0,0.0,0.0,4.01,0.32,0.09,
,Banana Skunk (Live Resin),"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.01,0.056,0.0,0.0,0.108,0.0,0.489,0.066,0.018,0.174,0.525,0.465,0.0,1.41,1.889,,0.244,0.397,0.0,0.0,,3.13,0.0,85.61,0.04,0.0,0.19,0.0,0.0,0.0,1.15,0.73,0.25,
